Name,Type,Category,Power
Sing,Normal,status,0
Sketch,Normal,status,0
Skull Bash,Normal,physical,100
Sky Attack,Flying,physical,200
Slam,Normal,physical,80
Slash,Normal,physical,70
Sleep Powder,Grass,status,0
Sleep Talk,Normal,status,0
Sludge,Poison,special,65
Sludge Bomb,Poison,special,90
Smog,Poison,special,20
Smokescreen,Normal,status,0
Snore,Normal,special,40
Soft-Boiled,Normal,status,0
Solar Beam,Grass,special,200
Sonic Boom,Normal,special,0
Spark,Electric,physical,65
Spider Web,Bug,status,0
Spike Cannon,Normal,physical,20
Spikes,Ground,status,0
Spite,Ghost,status,0
Splash,Normal,status,0
Spore,Grass,status,0
Steel Wing,Steel,physical,70
Stomp,Normal,physical,65
Strength,Normal,physical,80
String Shot,Bug,status,0
Struggle,Normal,physical,50
Stun Spore,Grass,status,0
Submission,Fighting,physical,80
Substitute,Normal,status,0
Sunny Day,Fire,status,0
Super Fang,Normal,physical,0
Supersonic,Normal,status,0
Surf,Water,special,95
Swagger,Normal,status,0
Sweet Kiss,Fairy,status,0
Sweet Scent,Normal,status,0
Swift,Normal,special,60
Swords Dance,Normal,status,0
Synthesis,Grass,status,0
Tackle,Normal,physical,35
Tail Whip,Normal,status,0
Take Down,Normal,physical,90
Teleport,Psychic,status,0
Thief,Dark,physical,40
Thrash,Normal,physical,90
Thunder,Electric,special,120
Thunder Punch,Electric,physical,75
Thunder Shock,Electric,special,40
Thunder Wave,Electric,status,0
Thunderbolt,Electric,special,95
Toxic,Poison,status,0
Transform,Normal,status,0
Tri Attack,Normal,special,80
Triple Kick,Fighting,physical,10
Twineedle,Bug,physical,25
Twister,Dragon,special,40
Vine Whip,Grass,physical,35
Vise Grip,Normal,physical,55
Vital Throw,Fighting,physical,70
Water Gun,Water,special,40
Waterfall,Water,physical,80
Whirlpool,Water,special,15
Whirlwind,Normal,status,0
Wing Attack,Flying,physical,60
Withdraw,Water,status,0
Wrap,Normal,physical,15
Zap Cannon,Electric,special,100
