Name,Type,Category,Power,Acc,PP,Effect
Odor Sleuth,Normal,status,0,0,40,"Resets opponent's Evasiveness, Normal-type and Fighting-type attacks can now hit Ghosts, and Ghost-type attacks hit Normal."
Outrage,Dragon,physical,120,100,10,User attacks for 2-3 turns but then becomes confused.
Overheat,Fire,special,130,90,5,Sharply lowers user's Special Attack.
Pain Split,Normal,status,0,0,20,The user's and opponent's HP becomes the average of both.
Pay Day,Normal,physical,40,100,20,A small amount of money is gained after the battle resolves.
Peck,Flying,physical,35,100,35,
Perish Song,Normal,status,0,0,5,Any Pokémon in play when this attack is used faints in 3 turns.
Petal Dance,Grass,special,120,100,10,User attacks for 2-3 turns but then becomes confused.
Pin Missile,Bug,physical,25,95,20,Hits 2-5 times in one turn.
Poison Fang,Poison,physical,50,100,15,May badly poison opponent.
Poison Gas,Poison,status,0,90,40,Poisons opponent.
Poison Powder,Poison,status,0,75,35,Poisons opponent.
Poison Sting,Poison,physical,15,100,35,May poison the opponent.
Poison Tail,Poison,physical,50,100,25,High critical hit ratio. May poison opponent.
Pound,Normal,physical,40,100,35,
Powder Snow,Ice,special,40,100,25,May freeze opponent.
Present,Normal,physical,0,90,15,Either deals damage or heals.
Protect,Normal,status,0,0,10,"Protects the user, but may fail if used consecutively."
Psybeam,Psychic,special,65,100,20,May confuse opponent.
Psych Up,Normal,status,0,0,10,Copies the opponent's stat changes.
Psychic,Psychic,special,90,100,10,May lower opponent's Special Defense.
Psycho Boost,Psychic,special,140,90,5,Sharply lowers user's Special Attack.
Psywave,Psychic,special,0,100,15,Inflicts damage 50-150% of user's level.
Pursuit,Dark,physical,40,100,20,Double power if the opponent is switching out.
Quick Attack,Normal,physical,40,100,30,User attacks first.
Rage,Normal,physical,20,100,20,Raises user's Attack when hit.
Rain Dance,Water,status,0,0,5,Makes it rain for 5 turns.
Rapid Spin,Normal,physical,50,100,40,Raises user's Speed and removes entry hazards and trap move effects.
Razor Leaf,Grass,physical,55,95,25,High critical hit ratio.
Razor Wind,Normal,special,80,100,10,"Charges on first turn, attacks on second. High critical hit ratio."
Recover,Normal,status,0,0,10,User recovers half its max HP.
Recycle,Normal,status,0,0,10,User's used hold item is restored.
Reflect,Psychic,status,0,0,20,Halves damage from Physical attacks for 5 turns.
Refresh,Normal,status,0,0,20,"Cures paralysis, poison, and burns."
Rest,Psychic,status,0,0,10,"User sleeps for 2 turns, but user is fully healed."
Return,Normal,physical,0,100,20,Power increases with higher Friendship.
Revenge,Fighting,physical,60,100,10,Power increases if user was hit first.
Reversal,Fighting,physical,0,100,15,"The lower the user's HP, the higher the power."
Roar,Normal,status,0,0,20,"In battles, the opponent switches. In the wild, the Pokémon runs."
Rock Blast,Rock,physical,25,90,10,Hits 2-5 times in one turn.
Rock Slide,Rock,physical,75,90,10,May cause flinching.
Rock Smash,Fighting,physical,40,100,15,May lower opponent's Defense.
Rock Throw,Rock,physical,50,90,15,
Rock Tomb,Rock,physical,60,95,15,Lowers opponent's Speed.
Role Play,Psychic,status,0,0,10,User copies the opponent's Ability.
Rolling Kick,Fighting,physical,60,85,15,May cause flinching.
Rollout,Rock,physical,30,90,20,Doubles in power each turn for 5 turns.
Sacred Fire,Fire,physical,100,95,5,May burn opponent.
Safeguard,Normal,status,0,0,25,The user's party is protected from status conditions.
Sand Attack,Ground,status,0,100,15,Lowers opponent's Accuracy.
Sand Tomb,Ground,physical,35,85,15,"Traps opponent, damaging them for 4-5 turns."
Sandstorm,Rock,status,0,0,10,Creates a sandstorm for 5 turns.
Scary Face,Normal,status,0,100,10,Sharply lowers opponent's Speed.
Scratch,Normal,physical,40,100,35,
Screech,Normal,status,0,85,40,Sharply lowers opponent's Defense.
Secret Power,Normal,physical,70,100,20,Effects of the attack vary with the location.
Seismic Toss,Fighting,physical,0,100,20,Inflicts damage equal to user's level.
Self-Destruct,Normal,physical,200,100,5,User faints.
Shadow Ball,Ghost,special,80,100,15,May lower opponent's Special Defense.
Shadow Punch,Ghost,physical,60,0,20,Ignores Accuracy and Evasiveness.
Sharpen,Normal,status,0,0,30,Raises user's Attack.
Sheer Cold,Ice,special,0,30,5,"One-Hit-KO, if it hits."
Shock Wave,Electric,special,60,0,20,Ignores Accuracy and Evasiveness.
Signal Beam,Bug,special,75,100,15,May confuse opponent.
Silver Wind,Bug,special,60,100,5,May raise all stats of user at once.
Sing,Normal,status,0,55,15,Puts opponent to sleep.
Sketch,Normal,status,0,0,1,Permanently copies the opponent's last move.
Skill Swap,Psychic,status,0,0,10,The user swaps Abilities with the opponent.
Skull Bash,Normal,physical,130,100,10,"Raises Defense on first turn, attacks on second."
Sky Attack,Flying,physical,140,90,5,"Charges on first turn, attacks on second. May cause flinching. High critical hit ratio."
Sky Uppercut,Fighting,physical,85,90,15,"Hits the opponent, even during Fly."
Slack Off,Normal,status,0,0,10,User recovers half its max HP.
Slam,Normal,physical,80,75,20,
Slash,Normal,physical,70,100,20,High critical hit ratio.
Sleep Powder,Grass,status,0,75,15,Puts opponent to sleep.
Sleep Talk,Normal,status,0,0,10,User performs one of its own moves while sleeping.
Sludge,Poison,special,65,100,20,May poison opponent.
Sludge Bomb,Poison,special,90,100,10,May poison opponent.
Smelling Salts,Normal,physical,70,100,10,"Power doubles if opponent is paralyzed, but cures it."
Smog,Poison,special,30,70,20,May poison opponent.
Smokescreen,Normal,status,0,100,20,Lowers opponent's Accuracy.
Snatch,Dark,status,0,0,10,Steals the effects of the opponent's next move.
Snore,Normal,special,50,100,15,Can only be used if asleep. May cause flinching.
Soft-Boiled,Normal,status,0,0,10,User recovers half its max HP.
Solar Beam,Grass,special,120,100,10,"Charges on first turn, attacks on second."
Sonic Boom,Normal,special,0,90,20,Always inflicts 20 HP.
Spark,Electric,physical,65,100,20,May paralyze opponent.
Spider Web,Bug,status,0,0,10,Opponent cannot escape/switch.
Spike Cannon,Normal,physical,20,100,15,Hits 2-5 times in one turn.
Spikes,Ground,status,0,0,20,Hurts opponents when they switch into battle.
Spit Up,Normal,special,0,100,10,Power depends on how many times the user performed Stockpile.
Spite,Ghost,status,0,100,10,The opponent's last move loses 2-5 PP.
Splash,Normal,status,0,0,40,Doesn't do ANYTHING.
Spore,Grass,status,0,100,15,Puts opponent to sleep.
Steel Wing,Steel,physical,70,90,25,May raise user's Defense.
Stockpile,Normal,status,0,0,20,Stores energy for use with Spit Up and Swallow.
Stomp,Normal,physical,65,100,20,May cause flinching.
Strength,Normal,physical,80,100,15,
String Shot,Bug,status,0,95,40,Sharply lowers opponent's Speed.
Struggle,Normal,physical,50,0,0,Only usable when all PP are gone. Hurts the user.
Stun Spore,Grass,status,0,75,30,Paralyzes opponent.
Submission,Fighting,physical,80,80,20,User receives recoil damage.
Substitute,Normal,status,0,0,10,Uses HP to creates a decoy that takes hits.
Sunny Day,Fire,status,0,0,5,Makes it sunny for 5 turns.
Super Fang,Normal,physical,0,90,10,Always takes off half of the opponent's HP.
Superpower,Fighting,physical,120,100,5,Lowers user's Attack and Defense.
Supersonic,Normal,status,0,55,20,Confuses opponent.
Surf,Water,special,90,100,15,Hits all adjacent Pokémon.
Swagger,Normal,status,0,85,15,"Opponent becomes confused, but its Attack is sharply raised."
Swallow,Normal,status,0,0,10,"The more times the user has performed Stockpile, the more HP is recovered."
Sweet Kiss,Fairy,status,0,75,10,Confuses opponent.
Sweet Scent,Normal,status,0,100,20,Lowers opponent's Evasiveness.
Swift,Normal,special,60,0,20,Ignores Accuracy and Evasiveness.
Swords Dance,Normal,status,0,0,20,Sharply raises user's Attack.
Synthesis,Grass,status,0,0,5,User recovers HP. Amount varies with the weather.
Tackle,Normal,physical,40,100,35,
Tail Glow,Bug,status,0,0,20,Drastically raises user's Special Attack.
Tail Whip,Normal,status,0,100,30,Lowers opponent's Defense.
Take Down,Normal,physical,90,85,20,User receives recoil damage.
Taunt,Dark,status,0,100,20,Opponent can only use moves that attack.
Teeter Dance,Normal,status,0,100,20,Confuses all Pokémon.
Teleport,Psychic,status,0,0,20,Allows user to flee wild battles; also warps player to last PokéCenter.
Thief,Dark,physical,60,100,25,Also steals opponent's held item.
Thrash,Normal,physical,120,100,10,User attacks for 2-3 turns but then becomes confused.
Thunder,Electric,special,110,70,10,May paralyze opponent.
Thunder Punch,Electric,physical,75,100,15,May paralyze opponent.
Thunder Shock,Electric,special,40,100,30,May paralyze opponent.
Thunder Wave,Electric,status,0,90,20,Paralyzes opponent.
Thunderbolt,Electric,special,90,100,15,May paralyze opponent.
Tickle,Normal,status,0,100,20,Lowers opponent's Attack and Defense.
Torment,Dark,status,0,100,15,Opponent cannot use the same move in a row.
Toxic,Poison,status,0,90,10,Badly poisons opponent.
Transform,Normal,status,0,0,10,User takes on the form and attacks of the opponent.
Tri Attack,Normal,special,80,100,10,"May paralyze, burn or freeze opponent."
Trick,Psychic,status,0,100,10,Swaps held items with the opponent.
Triple Kick,Fighting,physical,10,90,10,Hits thrice in one turn at increasing power.
Twineedle,Bug,physical,25,100,20,Hits twice in one turn. May poison opponent.
Twister,Dragon,special,40,100,20,May cause flinching. Hits Pokémon using Fly/Bounce with double power.
Uproar,Normal,special,90,100,10,User attacks for 3 turns and prevents sleep.
Vine Whip,Grass,physical,45,100,25,
Vise Grip,Normal,physical,55,100,30,
Vital Throw,Fighting,physical,70,0,10,"User attacks last, but ignores Accuracy and Evasiveness."
Volt Tackle,Electric,physical,120,100,15,User receives recoil damage. May paralyze opponent.
Water Gun,Water,special,40,100,25,
Water Pulse,Water,special,60,100,20,May confuse opponent.
Water Sport,Water,status,0,0,15,Weakens the power of Fire-type moves.
Water Spout,Water,special,150,100,5,"The higher the user's HP, the higher the damage caused."
Waterfall,Water,physical,80,100,15,May cause flinching.
Weather Ball,Normal,special,50,100,10,Move's power and type changes with the weather.
Whirlpool,Water,special,35,85,15,"Traps opponent, damaging them for 4-5 turns."
Whirlwind,Normal,status,0,0,20,"In battles, the opponent switches. In the wild, the Pokémon runs."
Will-O-Wisp,Fire,status,0,85,15,Burns opponent.
Wing Attack,Flying,physical,60,100,35,
Wish,Normal,status,0,0,10,The user recovers HP in the following turn.
Withdraw,Water,status,0,0,40,Raises user's Defense.
Wrap,Normal,physical,15,90,20,"Traps opponent, damaging them for 4-5 turns."
Yawn,Normal,status,0,0,10,Puts opponent to sleep in the next turn.
Zap Cannon,Electric,special,120,50,5,Paralyzes opponent.
