Name	Type	Category	Power
Mirror Coat	Psychic	special	0
Mirror Move	Flying	status	0
Mist	Ice	status	0
Mist Ball	Psychic	special	70
Moonlight	Fairy	status	0
Morning Sun	Normal	status	0
Mud Shot	Ground	special	55
Mud Sport	Ground	status	0
Mud-Slap	Ground	special	20
Muddy Water	Water	special	95
Nature Power	Normal	status	0
Needle Arm	Grass	physical	60
Night Shade	Ghost	special	0
Nightmare	Ghost	status	0
Octazooka	Water	special	65
Odor Sleuth	Normal	status	0
Outrage	Dragon	physical	90
Overheat	Fire	special	140
Pain Split	Normal	status	0
Pay Day	Normal	physical	40
Peck	Flying	physical	35
Perish Song	Normal	status	0
Petal Dance	Grass	special	70
Pin Missile	Bug	physical	14
Poison Fang	Poison	physical	50
Poison Gas	Poison	status	0
Poison Powder	Poison	status	0
Poison Sting	Poison	physical	15
Poison Tail	Poison	physical	50
Pound	Normal	physical	40
Powder Snow	Ice	special	40
Present	Normal	physical	0
Protect	Normal	status	0
Psybeam	Psychic	special	65
Psych Up	Normal	status	0
Psychic	Psychic	special	90
Psycho Boost	Psychic	special	140
Psywave	Psychic	special	0
Pursuit	Dark	physical	40
Quick Attack	Normal	physical	40
Rage	Normal	physical	20
Rain Dance	Water	status	0
Rapid Spin	Normal	physical	20
Razor Leaf	Grass	physical	55
Razor Wind	Normal	special	80
Recover	Normal	status	0
Recycle	Normal	status	0
Reflect	Psychic	status	0
Refresh	Normal	status	0
Rest	Psychic	status	0
Return	Normal	physical	0
Revenge	Fighting	physical	60
Reversal	Fighting	physical	0
Roar	Normal	status	0
Rock Blast	Rock	physical	25
Rock Slide	Rock	physical	75
Rock Smash	Fighting	physical	20
Rock Throw	Rock	physical	50
Rock Tomb	Rock	physical	50
Role Play	Psychic	status	0
Rolling Kick	Fighting	physical	60
Rollout	Rock	physical	30
Sacred Fire	Fire	physical	100
Safeguard	Normal	status	0
Sand Attack	Ground	status	0
Sand Tomb	Ground	physical	15
Sandstorm	Rock	status	0
Scary Face	Normal	status	0
Scratch	Normal	physical	40
Screech	Normal	status	0
Secret Power	Normal	physical	70
Seismic Toss	Fighting	physical	0
Self-Destruct	Normal	physical	200
Shadow Ball	Ghost	special	80
Shadow Punch	Ghost	physical	60
Sharpen	Normal	status	0
Sheer Cold	Ice	special	0
Shock Wave	Electric	special	60
Signal Beam	Bug	special	75
Silver Wind	Bug	special	60
Sing	Normal	status	0
Sketch	Normal	status	0
Skill Swap	Psychic	status	0
Skull Bash	Normal	physical	100
Sky Attack	Flying	physical	200
Sky Uppercut	Fighting	physical	85
Slack Off	Normal	status	0
Slam	Normal	physical	80
Slash	Normal	physical	70
Sleep Powder	Grass	status	0
Sleep Talk	Normal	status	0
Sludge	Poison	special	65
Sludge Bomb	Poison	special	90
Smelling Salts	Normal	physical	60
Smog	Poison	special	20
Smokescreen	Normal	status	0
Snatch	Dark	status	0
Snore	Normal	special	40
Soft-Boiled	Normal	status	0
Solar Beam	Grass	special	200
Sonic Boom	Normal	special	0
Spark	Electric	physical	65
Spider Web	Bug	status	0
Spike Cannon	Normal	physical	20
Spikes	Ground	status	0
Spit Up	Normal	special	0
Spite	Ghost	status	0
Splash	Normal	status	0
Spore	Grass	status	0
Steel Wing	Steel	physical	70
Stockpile	Normal	status	0
Stomp	Normal	physical	65
Strength	Normal	physical	80
String Shot	Bug	status	0
Struggle	Normal	physical	50
Stun Spore	Grass	status	0
Submission	Fighting	physical	80
Substitute	Normal	status	0
Sunny Day	Fire	status	0
Super Fang	Normal	physical	0
Superpower	Fighting	physical	120
Supersonic	Normal	status	0
Surf	Water	special	95
Swagger	Normal	status	0
Swallow	Normal	status	0
Sweet Kiss	Fairy	status	0
Sweet Scent	Normal	status	0
Swift	Normal	special	60
Swords Dance	Normal	status	0
Synthesis	Grass	status	0
Tackle	Normal	physical	35
Tail Glow	Bug	status	0
Tail Whip	Normal	status	0
Take Down	Normal	physical	90
Taunt	Dark	status	0
Teeter Dance	Normal	status	0
Teleport	Psychic	status	0
Thief	Dark	physical	40
Thrash	Normal	physical	90
Thunder	Electric	special	120
Thunder Punch	Electric	physical	75
Thunder Shock	Electric	special	40
Thunder Wave	Electric	status	0
Thunderbolt	Electric	special	95
Tickle	Normal	status	0
Torment	Dark	status	0
Toxic	Poison	status	0
Transform	Normal	status	0
Tri Attack	Normal	special	80
Trick	Psychic	status	0
Triple Kick	Fighting	physical	10
Twineedle	Bug	physical	25
Twister	Dragon	special	40
Uproar	Normal	special	50
Vine Whip	Grass	physical	35
Vise Grip	Normal	physical	55
Vital Throw	Fighting	physical	70
Volt Tackle	Electric	physical	120
Water Gun	Water	special	40
Water Pulse	Water	special	60
Water Sport	Water	status	0
Water Spout	Water	special	150
Waterfall	Water	physical	80
Weather Ball	Normal	special	50
Whirlpool	Water	special	15
Whirlwind	Normal	status	0
Will-O-Wisp	Fire	status	0
Wing Attack	Flying	physical	60
Wish	Normal	status	0
Withdraw	Water	status	0
Wrap	Normal	physical	15
Yawn	Normal	status	0
Zap Cannon	Electric	special	100
