Name,Type,Category,Power,Acc,PP,Effect
Hammer Arm,Fighting,physical,100,90,10,Lowers user's Speed.
Happy Hour,Normal,status,0,0,30,Doubles prize money from trainer battles.
Harden,Normal,status,0,0,30,Raises user's Defense.
Haze,Ice,status,0,0,30,Resets all stat changes.
Head Charge,Normal,physical,120,100,15,User receives recoil damage.
Head Smash,Rock,physical,150,80,5,User receives recoil damage.
Headbutt,Normal,physical,70,100,15,May cause flinching.
Heal Bell,Normal,status,0,0,5,Heals the user's party's status conditions.
Heal Block,Psychic,status,0,100,15,Prevents the opponent from restoring HP for 5 turns.
Heal Order,Bug,status,0,0,10,User recovers half its max HP.
Heal Pulse,Psychic,status,0,0,10,Restores half the target's max HP.
Healing Wish,Psychic,status,0,0,10,The user faints and the next Pokémon released is fully healed.
Heart Stamp,Psychic,physical,60,100,25,May cause flinching.
Heart Swap,Psychic,status,0,0,10,Stat changes are swapped with the opponent.
Heat Crash,Fire,physical,0,100,10,"The heavier the user, the stronger the attack."
Heat Wave,Fire,special,95,90,10,May burn opponent.
Heavy Slam,Steel,physical,0,100,10,"The heavier the user, the stronger the attack."
Helping Hand,Normal,status,0,0,20,"In Double Battles, boosts the power of the partner's move."
Hex,Ghost,special,65,100,10,Inflicts more damage if the target has a status condition.
Hidden Power,Normal,special,60,100,15,Type and power depends on user's IVs.
High Jump Kick,Fighting,physical,130,90,10,"If it misses, the user loses half their HP."
Hold Back,Normal,physical,40,100,40,Always leaves opponent with at least 1 HP.
Hold Hands,Normal,status,0,0,40,Makes the user and an ally very happy.
Hone Claws,Dark,status,0,0,15,Raises user's Attack and Accuracy.
Horn Attack,Normal,physical,65,100,25,
Horn Drill,Normal,physical,0,30,5,"One-Hit-KO, if it hits."
Horn Leech,Grass,physical,75,100,10,User recovers half the HP inflicted on opponent.
Howl,Normal,status,0,0,40,Raises Attack of allies.
Hurricane,Flying,special,110,70,10,May confuse opponent.
Hydro Cannon,Water,special,150,90,5,User must recharge next turn.
Hydro Pump,Water,special,110,80,5,
Hyper Beam,Normal,special,150,90,5,User must recharge next turn.
Hyper Fang,Normal,physical,80,90,15,May cause flinching.
Hyper Voice,Normal,special,90,100,10,
Hyperspace Fury,Dark,physical,100,0,5,Lowers user's Defense. Can strike through Protect/Detect.
Hyperspace Hole,Psychic,special,80,0,5,Can strike through Protect/Detect.
Hypnosis,Psychic,status,0,60,20,Puts opponent to sleep.
Ice Ball,Ice,physical,30,90,20,Doubles in power each turn for 5 turns.
Ice Beam,Ice,special,90,100,10,May freeze opponent.
Ice Burn,Ice,special,140,90,5,"Charges on first turn, attacks on second. May burn opponent."
Ice Fang,Ice,physical,65,95,15,May cause flinching and/or freeze opponent.
Ice Punch,Ice,physical,75,100,15,May freeze opponent.
Ice Shard,Ice,physical,40,100,30,User attacks first.
Icicle Crash,Ice,physical,85,90,10,May cause flinching.
Icicle Spear,Ice,physical,25,100,30,Hits 2-5 times in one turn.
Icy Wind,Ice,special,55,95,15,Lowers opponent's Speed.
Imprison,Psychic,status,0,0,10,Opponent is unable to use moves that the user also knows.
Incinerate,Fire,special,60,100,15,Destroys the target's held berry.
Inferno,Fire,special,100,50,5,Burns opponent.
Infestation,Bug,special,20,100,20,"Traps opponent, damaging them for 4-5 turns."
Ingrain,Grass,status,0,0,20,User restores HP each turn. User cannot escape/switch.
Ion Deluge,Electric,status,0,0,25,Changes Normal-type moves to Electric-type.
Iron Defense,Steel,status,0,0,15,Sharply raises user's Defense.
Iron Head,Steel,physical,80,100,15,May cause flinching.
Iron Tail,Steel,physical,100,75,15,May lower opponent's Defense.
Judgment,Normal,special,100,100,10,Type depends on the Arceus Plate being held.
Jump Kick,Fighting,physical,100,95,10,"If it misses, the user loses half their HP."
Karate Chop,Fighting,physical,50,100,25,High critical hit ratio.
Kinesis,Psychic,status,0,80,15,Lowers opponent's Accuracy.
King's Shield,Steel,status,0,0,10,Protects the user and lowers opponent's Attack on contact.
Knock Off,Dark,physical,65,100,20,Removes opponent's held item for the rest of the battle.
Land's Wrath,Ground,physical,90,100,10,
Last Resort,Normal,physical,140,100,5,Can only be used after all other moves are used.
Lava Plume,Fire,special,80,100,15,May burn opponent.
Leaf Blade,Grass,physical,90,100,15,High critical hit ratio.
Leaf Storm,Grass,special,130,90,5,Sharply lowers user's Special Attack.
Leaf Tornado,Grass,special,65,90,10,May lower opponent's Accuracy.
Leech Life,Bug,physical,20,100,10,User recovers half the HP inflicted on opponent.
Leech Seed,Grass,status,0,90,10,Drains HP from opponent each turn.
Leer,Normal,status,0,100,30,Lowers opponent's Defense.
Lick,Ghost,physical,30,100,30,May paralyze opponent.
Light Screen,Psychic,status,0,0,30,Halves damage from Special attacks for 5 turns.
Light of Ruin,Fairy,special,140,90,5,User receives recoil damage.
Lock-On,Normal,status,0,0,5,User's next attack is guaranteed to hit.
Lovely Kiss,Normal,status,0,75,10,Puts opponent to sleep.
Low Kick,Fighting,physical,0,100,20,"The heavier the opponent, the stronger the attack."
Low Sweep,Fighting,physical,65,100,20,Lowers opponent's Speed.
Lucky Chant,Normal,status,0,0,30,Opponent cannot land critical hits for 5 turns.
Lunar Dance,Psychic,status,0,0,10,The user faints but the next Pokémon released is fully healed.
Luster Purge,Psychic,special,70,100,5,May lower opponent's Special Defense.
Mach Punch,Fighting,physical,40,100,30,User attacks first.
Magic Coat,Psychic,status,0,0,15,Reflects moves that cause status conditions back to the attacker.
Magic Room,Psychic,status,0,0,10,Suppresses the effects of held items for five turns.
Magical Leaf,Grass,special,60,0,20,Ignores Accuracy and Evasiveness.
Magma Storm,Fire,special,100,75,5,"Traps opponent, damaging them for 4-5 turns."
Magnet Bomb,Steel,physical,60,0,20,Ignores Accuracy and Evasiveness.
Magnet Rise,Electric,status,0,0,10,User becomes immune to Ground-type moves for 5 turns.
Magnetic Flux,Electric,status,0,0,20,Raises Defense and Sp. Defense of Plus/Minus Pokémon.
Magnitude,Ground,physical,0,100,30,Hits with random power.
Mat Block,Fighting,status,0,0,10,Protects teammates from damaging moves.
Me First,Normal,status,0,0,20,User copies the opponent's attack with 1.5× power.
Mean Look,Normal,status,0,0,5,Opponent cannot flee or switch.
Meditate,Psychic,status,0,0,40,Raises user's Attack.
Mega Drain,Grass,special,75,100,15,User recovers half the HP inflicted on opponent.
Mega Kick,Normal,physical,120,75,5,
Mega Punch,Normal,physical,80,85,20,
Megahorn,Bug,physical,120,85,10,
Memento,Dark,status,0,100,10,"User faints, sharply lowers opponent's Attack and Special Attack."
Metal Burst,Steel,physical,0,100,10,Deals damage equal to 1.5x opponent's attack.
Metal Claw,Steel,physical,50,95,35,May raise user's Attack.
Metal Sound,Steel,status,0,85,40,Sharply lowers opponent's Special Defense.
Meteor Mash,Steel,physical,90,90,10,May raise user's Attack.
Metronome,Normal,status,0,0,10,User performs almost any move in the game at random.
Milk Drink,Normal,status,0,0,10,User recovers half its max HP.
Mimic,Normal,status,0,0,10,Copies the opponent's last move.
Mind Reader,Normal,status,0,0,5,User's next attack is guaranteed to hit.
Minimize,Normal,status,0,0,10,Sharply raises user's Evasiveness.
Miracle Eye,Psychic,status,0,0,40,"Resets opponent's Evasiveness, removes Dark's Psychic immunity."
Mirror Coat,Psychic,special,0,100,20,"When hit by a Special Attack, user strikes back with 2x power."
Mirror Move,Flying,status,0,0,20,User performs the opponent's last move.
Mirror Shot,Steel,special,65,85,10,May lower opponent's Accuracy.
Mist,Ice,status,0,0,30,User's stats cannot be changed for a period of time.
Mist Ball,Psychic,special,70,100,5,May lower opponent's Special Attack.
Misty Terrain,Fairy,status,0,0,10,Protects the field from status conditions for 5 turns.
Moonblast,Fairy,special,95,100,15,May lower opponent's Special Attack.
Moonlight,Fairy,status,0,0,5,User recovers HP. Amount varies with the weather.
Morning Sun,Normal,status,0,0,5,User recovers HP. Amount varies with the weather.
Mud Bomb,Ground,special,65,85,10,May lower opponent's Accuracy.
Mud Shot,Ground,special,55,95,15,Lowers opponent's Speed.
Mud Sport,Ground,status,0,0,15,Weakens the power of Electric-type moves.
Mud-Slap,Ground,special,20,100,10,Lowers opponent's Accuracy.
Muddy Water,Water,special,90,85,10,May lower opponent's Accuracy.
Mystical Fire,Fire,special,65,100,10,Lowers opponent's Special Attack.
Nasty Plot,Dark,status,0,0,20,Sharply raises user's Special Attack.
Natural Gift,Normal,physical,0,100,15,Power and type depend on the user's held berry.
Nature Power,Normal,status,0,0,20,Uses a certain move based on the current terrain.
Needle Arm,Grass,physical,60,100,15,May cause flinching.
Night Daze,Dark,special,85,95,10,May lower opponent's Accuracy.
Night Shade,Ghost,special,0,100,15,Inflicts damage equal to user's level.
Night Slash,Dark,physical,70,100,15,High critical hit ratio.
Nightmare,Ghost,status,0,100,15,The sleeping opponent loses 25% of its max HP each turn.
Noble Roar,Normal,status,0,100,30,Lowers opponent's Attack and Special Attack.
Nuzzle,Electric,physical,20,100,20,Paralyzes opponent.
Oblivion Wing,Flying,special,80,100,10,User recovers most of the HP inflicted on opponent.
Octazooka,Water,special,65,85,10,May lower opponent's Accuracy.
Odor Sleuth,Normal,status,0,0,40,"Resets opponent's Evasiveness, Normal-type and Fighting-type attacks can now hit Ghosts, and Ghost-type attacks hit Normal."
Ominous Wind,Ghost,special,60,100,5,May raise all user's stats at once.
Origin Pulse,Water,special,110,85,10,Hits all adjacent opponents.
Outrage,Dragon,physical,120,100,10,User attacks for 2-3 turns but then becomes confused.
Overheat,Fire,special,130,90,5,Sharply lowers user's Special Attack.
Pain Split,Normal,status,0,0,20,The user's and opponent's HP becomes the average of both.
Parabolic Charge,Electric,special,50,100,20,User recovers half the HP inflicted on opponent.
Parting Shot,Dark,status,0,100,20,Lowers opponent's Attack and Special Attack then switches out.
Pay Day,Normal,physical,40,100,20,A small amount of money is gained after the battle resolves.
Payback,Dark,physical,50,100,10,Power doubles if the user was attacked first.
Peck,Flying,physical,35,100,35,
Perish Song,Normal,status,0,0,5,Any Pokémon in play when this attack is used faints in 3 turns.
Petal Blizzard,Grass,physical,90,100,15,Hits all adjacent Pokémon.
Petal Dance,Grass,special,120,100,10,User attacks for 2-3 turns but then becomes confused.
Phantom Force,Ghost,physical,90,100,10,"Disappears on first turn, attacks on second. Can strike through Protect/Detect."
Pin Missile,Bug,physical,25,95,20,Hits 2-5 times in one turn.
Play Nice,Normal,status,0,0,20,Lowers opponent's Attack. Always hits.
Play Rough,Fairy,physical,90,90,10,May lower opponent's Attack.
Pluck,Flying,physical,60,100,20,"If the opponent is holding a berry, its effect is stolen by user."
Poison Fang,Poison,physical,50,100,15,May badly poison opponent.
Poison Gas,Poison,status,0,90,40,Poisons opponent.
Poison Jab,Poison,physical,80,100,20,May poison the opponent.
Poison Powder,Poison,status,0,75,35,Poisons opponent.
Poison Sting,Poison,physical,15,100,35,May poison the opponent.
Poison Tail,Poison,physical,50,100,25,High critical hit ratio. May poison opponent.
Pound,Normal,physical,40,100,35,
Powder,Bug,status,0,100,20,Damages Pokémon using Fire type moves.
Powder Snow,Ice,special,40,100,25,May freeze opponent.
Power Gem,Rock,special,80,100,20,
Power Split,Psychic,status,0,0,10,Averages Attack and Special Attack with the target.
Power Swap,Psychic,status,0,0,10,User and opponent swap Attack and Special Attack.
Power Trick,Psychic,status,0,0,10,User's own Attack and Defense switch.
Power Whip,Grass,physical,120,85,10,
Power-Up Punch,Fighting,physical,40,100,20,Raises Attack.
Precipice Blades,Ground,physical,120,85,10,Hits all adjacent opponents.
Present,Normal,physical,0,90,15,Either deals damage or heals.
Protect,Normal,status,0,0,10,"Protects the user, but may fail if used consecutively."
Psybeam,Psychic,special,65,100,20,May confuse opponent.
Psych Up,Normal,status,0,0,10,Copies the opponent's stat changes.
Psychic,Psychic,special,90,100,10,May lower opponent's Special Defense.
Psycho Boost,Psychic,special,140,90,5,Sharply lowers user's Special Attack.
Psycho Cut,Psychic,physical,70,100,20,High critical hit ratio.
Psycho Shift,Psychic,status,0,100,10,Transfers user's status condition to the opponent.
Psyshock,Psychic,special,80,100,10,"Inflicts damage based on the target's Defense, not Special Defense."
Psystrike,Psychic,special,100,100,10,"Inflicts damage based on the target's Defense, not Special Defense."
