Name,Type,Category,Power
Brutal Swing,Dark,physical,60
Bubble,Water,special,40
Bubble Beam,Water,special,65
Bug Bite,Bug,physical,60
Bug Buzz,Bug,special,90
Bulk Up,Fighting,status,0
Bulldoze,Ground,physical,60
Bullet Punch,Steel,physical,40
Bullet Seed,Grass,physical,25
Burn Up,Fire,special,130
Burning Jealousy,Fire,special,70
Buzzy Buzz,Electric,special,90
Calm Mind,Psychic,status,0
Camouflage,Normal,status,0
Captivate,Normal,status,0
Catastropika,Electric,physical,210
Celebrate,Normal,status,0
Charge,Electric,status,0
Charge Beam,Electric,special,50
Charm,Fairy,status,0
Chatter,Flying,special,65
Chip Away,Normal,physical,70
Circle Throw,Fighting,physical,60
Clamp,Water,physical,35
Clanging Scales,Dragon,special,110
Clangorous Soul,Dragon,status,0
Clangorous Soulblaze,Dragon,special,185
Clear Smog,Poison,special,50
Close Combat,Fighting,physical,120
Coaching,Fighting,status,0
Coil,Poison,status,0
Comet Punch,Normal,physical,18
Confide,Normal,status,0
Confuse Ray,Ghost,status,0
Confusion,Psychic,special,50
Constrict,Normal,physical,10
Continental Crush,Rock,none,0
Conversion,Normal,status,0
Conversion 2,Normal,status,0
Copycat,Normal,status,0
Core Enforcer,Dragon,special,100
Corkscrew Crash,Steel,none,0
Corrosive Gas,Poison,status,0
Cosmic Power,Psychic,status,0
Cotton Guard,Grass,status,0
Cotton Spore,Grass,status,0
Counter,Fighting,physical,0
Court Change,Normal,status,0
Covet,Normal,physical,60
Crabhammer,Water,physical,100
Crafty Shield,Fairy,status,0
Cross Chop,Fighting,physical,100
Cross Poison,Poison,physical,70
Crunch,Dark,physical,80
Crush Claw,Normal,physical,75
Crush Grip,Normal,physical,0
Curse,Ghost,status,0
Cut,Normal,physical,50
Dark Pulse,Dark,special,80
Dark Void,Dark,status,0
Darkest Lariat,Dark,physical,85
Dazzling Gleam,Fairy,special,80
Decorate,Fairy,status,0
Defend Order,Bug,status,0
Defense Curl,Normal,status,0
Defog,Flying,status,0
Destiny Bond,Ghost,status,0
Detect,Fighting,status,0
Devastating Drake,Dragon,none,0
Diamond Storm,Rock,physical,100
Dig,Ground,physical,80
Disable,Normal,status,0
Disarming Voice,Fairy,special,40
Discharge,Electric,special,80
Dive,Water,physical,80
Dizzy Punch,Normal,physical,70
Doom Desire,Steel,special,140
Double Hit,Normal,physical,35
Double Iron Bash,Steel,physical,60
Double Kick,Fighting,physical,30
Double Slap,Normal,physical,15
Double Team,Normal,status,0
Double-Edge,Normal,physical,120
Draco Meteor,Dragon,special,130
Dragon Ascent,Flying,physical,120
Dragon Breath,Dragon,special,60
Dragon Claw,Dragon,physical,80
Dragon Dance,Dragon,status,0
Dragon Darts,Dragon,physical,50
Dragon Energy,Dragon,special,150
Dragon Hammer,Dragon,physical,90
Dragon Pulse,Dragon,special,85
Dragon Rage,Dragon,special,0
Dragon Rush,Dragon,physical,100
Dragon Tail,Dragon,physical,60
Drain Punch,Fighting,physical,75
Draining Kiss,Fairy,special,50
Dream Eater,Psychic,special,100
Drill Peck,Flying,physical,80
Drill Run,Ground,physical,80
Drum Beating,Grass,physical,80
Dual Chop,Dragon,physical,40
Dual Wingbeat,Flying,physical,40
Dynamax Cannon,Dragon,special,100
Dynamic Punch,Fighting,physical,100
Earth Power,Ground,special,90
Earthquake,Ground,physical,100
Echoed Voice,Normal,special,40
Eerie Impulse,Electric,status,0
Eerie Spell,Psychic,special,80
Egg Bomb,Normal,physical,100
Electric Terrain,Electric,status,0
Electrify,Electric,status,0
Electro Ball,Electric,special,0
Electroweb,Electric,special,55
Embargo,Dark,status,0
Ember,Fire,special,40
Encore,Normal,status,0
Endeavor,Normal,physical,0
Endure,Normal,status,0
Energy Ball,Grass,special,90
Entrainment,Normal,status,0
Eruption,Fire,special,150
Eternabeam,Dragon,special,160
Expanding Force,Psychic,special,80
Explosion,Normal,physical,250
Extrasensory,Psychic,special,80
Extreme Evoboost,Normal,status,0
Extreme Speed,Normal,physical,80
Facade,Normal,physical,70
Fairy Lock,Fairy,status,0
Fairy Wind,Fairy,special,40
Fake Out,Normal,physical,40
Fake Tears,Dark,status,0
False Surrender,Dark,physical,80
False Swipe,Normal,physical,40
Feather Dance,Flying,status,0
Feint,Normal,physical,30
Feint Attack,Dark,physical,60
Fell Stinger,Bug,physical,50
Fiery Dance,Fire,special,80
Fiery Wrath,Dark,special,90
Final Gambit,Fighting,special,0
Fire Blast,Fire,special,110
Fire Fang,Fire,physical,65
Fire Lash,Fire,physical,80
Fire Pledge,Fire,special,80
Fire Punch,Fire,physical,75
Fire Spin,Fire,special,35
First Impression,Bug,physical,90
Fishious Rend,Water,physical,85
Fissure,Ground,physical,0
Flail,Normal,physical,0
Flame Burst,Fire,special,70
Flame Charge,Fire,physical,50
Flame Wheel,Fire,physical,60
Flamethrower,Fire,special,90
Flare Blitz,Fire,physical,120
Flash,Normal,status,0
Flash Cannon,Steel,special,80
Flatter,Dark,status,0
Fleur Cannon,Fairy,special,130
Fling,Dark,physical,0
Flip Turn,Water,physical,60
Floaty Fall,Flying,physical,90
Floral Healing,Fairy,status,0
Flower Shield,Fairy,status,0
Fly,Flying,physical,90
Flying Press,Fighting,physical,100
Focus Blast,Fighting,special,120
Focus Energy,Normal,status,0
Focus Punch,Fighting,physical,150
Follow Me,Normal,status,0
Force Palm,Fighting,physical,60
Foresight,Normal,status,0
Forest's Curse,Grass,status,0
Foul Play,Dark,physical,95
Freeze Shock,Ice,physical,140
Freeze-Dry,Ice,special,70
Freezing Glare,Psychic,special,90
Freezy Frost,Ice,special,90
Frenzy Plant,Grass,special,150
Frost Breath,Ice,special,60
Frustration,Normal,physical,0
Fury Attack,Normal,physical,15
Fury Cutter,Bug,physical,40
Fury Swipes,Normal,physical,18
Fusion Bolt,Electric,physical,100
Fusion Flare,Fire,special,100
Future Sight,Psychic,special,120
G-Max Befuddle,Bug,none,0
G-Max Cannonade,Water,none,0
G-Max Centiferno,Fire,none,0
G-Max Chi Strike,Fighting,none,0
G-Max Cuddle,Normal,none,0
G-Max Depletion,Dragon,none,0
G-Max Drum Solo,Grass,none,0
G-Max Finale,Fairy,none,0
G-Max Fireball,Fire,none,0
G-Max Foam Burst,Water,none,0
G-Max Gold Rush,Normal,none,0
G-Max Gravitas,Psychic,none,0
G-Max Hydrosnipe,Water,none,0
G-Max Malodor,Poison,none,0
G-Max Meltdown,Steel,none,0
G-Max One Blow,Dark,none,0
G-Max Rapid Flow,Water,none,0
G-Max Replenish,Normal,none,0
G-Max Resonance,Ice,none,0
G-Max Sandblast,Ground,none,0
G-Max Smite,Fairy,none,0
G-Max Snooze,Dark,none,0
G-Max Steelsurge,Steel,none,0
G-Max Stonesurge,Water,none,0
G-Max Stun Shock,Electric,none,0
G-Max Sweetness,Grass,none,0
G-Max Tartness,Grass,none,0
G-Max Terror,Ghost,none,0
G-Max Vine Lash,Grass,none,0
G-Max Volcalith,Rock,none,0
G-Max Volt Crash,Electric,none,0
G-Max Wildfire,Fire,none,0
G-Max Wind Rage,Flying,none,0
Gastro Acid,Poison,status,0
Gear Grind,Steel,physical,50
Gear Up,Steel,status,0
Genesis Supernova,Psychic,special,185
Geomancy,Fairy,status,0
Giga Drain,Grass,special,75
Giga Impact,Normal,physical,150
Gigavolt Havoc,Electric,none,0
Glacial Lance,Ice,physical,130
Glaciate,Ice,special,65
Glare,Normal,status,0
Glitzy Glow,Psychic,special,90
Grass Knot,Grass,special,0
Grass Pledge,Grass,special,80
Grass Whistle,Grass,status,0
Grassy Glide,Grass,physical,70
Grassy Terrain,Grass,status,0
Grav Apple,Grass,physical,80
Gravity,Psychic,status,0
Growl,Normal,status,0
Growth,Normal,status,0
Grudge,Ghost,status,0
Guard Split,Psychic,status,0
Guard Swap,Psychic,status,0
Guardian of Alola,Fairy,special,0
Guillotine,Normal,physical,0
Gunk Shot,Poison,physical,120
Gust,Flying,special,40
Gyro Ball,Steel,physical,0
Hail,Ice,status,0
Hammer Arm,Fighting,physical,100
Happy Hour,Normal,status,0
Harden,Normal,status,0
Haze,Ice,status,0
Head Charge,Normal,physical,120
Head Smash,Rock,physical,150
Headbutt,Normal,physical,70
Heal Bell,Normal,status,0
Heal Block,Psychic,status,0
Heal Order,Bug,status,0
Heal Pulse,Psychic,status,0
Healing Wish,Psychic,status,0
Heart Stamp,Psychic,physical,60
Heart Swap,Psychic,status,0
Heat Crash,Fire,physical,0
Heat Wave,Fire,special,95
Heavy Slam,Steel,physical,0
Helping Hand,Normal,status,0
Hex,Ghost,special,65
Hidden Power,Normal,special,60
High Horsepower,Ground,physical,95
High Jump Kick,Fighting,physical,130
Hold Back,Normal,physical,40
Hold Hands,Normal,status,0
Hone Claws,Dark,status,0
Horn Attack,Normal,physical,65
Horn Drill,Normal,physical,0
Horn Leech,Grass,physical,75
Howl,Normal,status,0
Hurricane,Flying,special,110
Hydro Cannon,Water,special,150
Hydro Pump,Water,special,110
Hydro Vortex,Water,none,0
Hyper Beam,Normal,special,150
Hyper Fang,Normal,physical,80
Hyper Voice,Normal,special,90
Hyperspace Fury,Dark,physical,100
Hyperspace Hole,Psychic,special,80
Hypnosis,Psychic,status,0
Ice Ball,Ice,physical,30
Ice Beam,Ice,special,90
Ice Burn,Ice,special,140
Ice Fang,Ice,physical,65
Ice Hammer,Ice,physical,100
Ice Punch,Ice,physical,75
Ice Shard,Ice,physical,40
Icicle Crash,Ice,physical,85
Icicle Spear,Ice,physical,25
Icy Wind,Ice,special,55
Imprison,Psychic,status,0
Incinerate,Fire,special,60
Inferno,Fire,special,100
Inferno Overdrive,Fire,none,0
Infestation,Bug,special,20
Ingrain,Grass,status,0
Instruct,Psychic,status,0
Ion Deluge,Electric,status,0
Iron Defense,Steel,status,0
Iron Head,Steel,physical,80
Iron Tail,Steel,physical,100
Jaw Lock,Dark,physical,80
Judgment,Normal,special,100
Jump Kick,Fighting,physical,100
Jungle Healing,Grass,status,0
Karate Chop,Fighting,physical,50
Kinesis,Psychic,status,0
King's Shield,Steel,status,0
Knock Off,Dark,physical,65
Land's Wrath,Ground,physical,90
Laser Focus,Normal,status,0
Lash Out,Dark,physical,75
Last Resort,Normal,physical,140
Lava Plume,Fire,special,80
Leaf Blade,Grass,physical,90
Leaf Storm,Grass,special,130
Leaf Tornado,Grass,special,65
Leafage,Grass,physical,40
Leech Life,Bug,physical,80
Leech Seed,Grass,status,0
Leer,Normal,status,0
Let's Snuggle Forever,Fairy,physical,190
Lick,Ghost,physical,30
Life Dew,Water,status,0
Light Screen,Psychic,status,0
Light That Burns the Sky,Psychic,special,200
Light of Ruin,Fairy,special,140
Liquidation,Water,physical,85
Lock-On,Normal,status,0
Lovely Kiss,Normal,status,0
Low Kick,Fighting,physical,0
Low Sweep,Fighting,physical,65
Lucky Chant,Normal,status,0
Lunar Dance,Psychic,status,0
Lunge,Bug,physical,80
Luster Purge,Psychic,special,70
Mach Punch,Fighting,physical,40
Magic Coat,Psychic,status,0
Magic Powder,Psychic,status,0
Magic Room,Psychic,status,0
Magical Leaf,Grass,special,60
Magma Storm,Fire,special,100
Magnet Bomb,Steel,physical,60
Magnet Rise,Electric,status,0
Magnetic Flux,Electric,status,0
Magnitude,Ground,physical,0
Malicious Moonsault,Dark,physical,180
Mat Block,Fighting,status,0
Max Airstream,Flying,none,0
Max Darkness,Dark,none,0
Max Flare,Fire,none,0
Max Flutterby,Bug,none,0
Max Geyser,Water,none,0
Max Guard,Normal,none,0
Max Hailstorm,Ice,none,0
Max Knuckle,Fighting,none,0
Max Lightning,Electric,none,0
Max Mindstorm,Psychic,none,0
Max Ooze,Poison,none,0
Max Overgrowth,Grass,none,0
Max Phantasm,Ghost,none,0
Max Quake,Ground,none,0
Max Rockfall,Rock,none,0
Max Starfall,Fairy,none,0
Max Steelspike,Steel,none,0
Max Strike,Normal,none,0
Max Wyrmwind,Dragon,none,0
Me First,Normal,status,0
Mean Look,Normal,status,0
Meditate,Psychic,status,0
Mega Drain,Grass,special,40
Mega Kick,Normal,physical,120
Mega Punch,Normal,physical,80
Megahorn,Bug,physical,120
Memento,Dark,status,0
Menacing Moonraze Maelstrom,Ghost,special,200
Metal Burst,Steel,physical,0
Metal Claw,Steel,physical,50
Metal Sound,Steel,status,0
Meteor Assault,Fighting,physical,150
Meteor Beam,Rock,special,120
Meteor Mash,Steel,physical,90
Metronome,Normal,status,0
Milk Drink,Normal,status,0
Mimic,Normal,status,0
Mind Blown,Fire,special,150
Mind Reader,Normal,status,0
Minimize,Normal,status,0
Miracle Eye,Psychic,status,0
Mirror Coat,Psychic,special,0
Mirror Move,Flying,status,0
Mirror Shot,Steel,special,65
Mist,Ice,status,0
Mist Ball,Psychic,special,70
Misty Explosion,Fairy,special,100
Misty Terrain,Fairy,status,0
Moonblast,Fairy,special,95
Moongeist Beam,Ghost,special,100
Moonlight,Fairy,status,0
Morning Sun,Normal,status,0
Mud Bomb,Ground,special,65
Mud Shot,Ground,special,55
Mud Sport,Ground,status,0
Mud-Slap,Ground,special,20
Muddy Water,Water,special,90
Multi-Attack,Normal,physical,120
Mystical Fire,Fire,special,75
Nasty Plot,Dark,status,0
Natural Gift,Normal,physical,0
Nature Power,Normal,status,0
Nature's Madness,Fairy,special,0
Needle Arm,Grass,physical,60
Never-Ending Nightmare,Ghost,none,0
Night Daze,Dark,special,85
Night Shade,Ghost,special,0
Night Slash,Dark,physical,70
Nightmare,Ghost,status,0
No Retreat,Fighting,status,0
Noble Roar,Normal,status,0
Nuzzle,Electric,physical,20
Oblivion Wing,Flying,special,80
Obstruct,Dark,status,0
Oceanic Operetta,Water,special,195
Octazooka,Water,special,65
Octolock,Fighting,status,0
Odor Sleuth,Normal,status,0
Ominous Wind,Ghost,special,60
Origin Pulse,Water,special,110
Outrage,Dragon,physical,120
Overdrive,Electric,special,80
Overheat,Fire,special,130
Pain Split,Normal,status,0
Parabolic Charge,Electric,special,65
Parting Shot,Dark,status,0
Pay Day,Normal,physical,40
Payback,Dark,physical,50
Peck,Flying,physical,35
Perish Song,Normal,status,0
Petal Blizzard,Grass,physical,90
Petal Dance,Grass,special,120
Phantom Force,Ghost,physical,90
Photon Geyser,Psychic,special,100
Pika Papow,Electric,special,0
Pin Missile,Bug,physical,25
Plasma Fists,Electric,physical,100
Play Nice,Normal,status,0
Play Rough,Fairy,physical,90
Pluck,Flying,physical,60
Poison Fang,Poison,physical,50
Poison Gas,Poison,status,0
Poison Jab,Poison,physical,80
Poison Powder,Poison,status,0
Poison Sting,Poison,physical,15
Poison Tail,Poison,physical,50
Pollen Puff,Bug,special,90
Poltergeist,Ghost,physical,110
Pound,Normal,physical,40
Powder,Bug,status,0
Powder Snow,Ice,special,40
Power Gem,Rock,special,80
Power Split,Psychic,status,0
Power Swap,Psychic,status,0
Power Trick,Psychic,status,0
Power Trip,Dark,physical,20
Power Whip,Grass,physical,120
Power-Up Punch,Fighting,physical,40
Precipice Blades,Ground,physical,120
Present,Normal,physical,0
Prismatic Laser,Psychic,special,160
Protect,Normal,status,0
Psybeam,Psychic,special,65
Psych Up,Normal,status,0
Psychic,Psychic,special,90
Psychic Fangs,Psychic,physical,85
Psychic Terrain,Psychic,status,0
Psycho Boost,Psychic,special,140
Psycho Cut,Psychic,physical,70
Psycho Shift,Psychic,status,0
Psyshock,Psychic,special,80
Psystrike,Psychic,special,100
Psywave,Psychic,special,0
Pulverizing Pancake,Normal,physical,210
Punishment,Dark,physical,0
Purify,Poison,status,0
Pursuit,Dark,physical,40
Pyro Ball,Fire,physical,120
Quash,Dark,status,0
Quick Attack,Normal,physical,40
Quick Guard,Fighting,status,0
Quiver Dance,Bug,status,0
Rage,Normal,physical,20
Rage Powder,Bug,status,0
Rain Dance,Water,status,0
Rapid Spin,Normal,physical,50
Razor Leaf,Grass,physical,55
Razor Shell,Water,physical,75
Razor Wind,Normal,special,80
Recover,Normal,status,0
Recycle,Normal,status,0
Reflect,Psychic,status,0
Reflect Type,Normal,status,0
Refresh,Normal,status,0
Relic Song,Normal,special,75
Rest,Psychic,status,0
Retaliate,Normal,physical,70
Return,Normal,physical,0
Revelation Dance,Normal,special,90
Revenge,Fighting,physical,60
Reversal,Fighting,physical,0
Rising Voltage,Electric,special,70
Roar,Normal,status,0
Roar of Time,Dragon,special,150
Rock Blast,Rock,physical,25
Rock Climb,Normal,physical,90
Rock Polish,Rock,status,0
Rock Slide,Rock,physical,75
Rock Smash,Fighting,physical,40
Rock Throw,Rock,physical,50
Rock Tomb,Rock,physical,60
Rock Wrecker,Rock,physical,150
Role Play,Psychic,status,0
Rolling Kick,Fighting,physical,60
Rollout,Rock,physical,30
Roost,Flying,status,0
Rototiller,Ground,status,0
Round,Normal,special,60
Sacred Fire,Fire,physical,100
Sacred Sword,Fighting,physical,90
Safeguard,Normal,status,0
Sand Attack,Ground,status,0
Sand Tomb,Ground,physical,35
Sandstorm,Rock,status,0
Sappy Seed,Grass,physical,90
Savage Spin-Out,Bug,none,0
Scald,Water,special,80
Scale Shot,Dragon,physical,25
Scary Face,Normal,status,0
Scorching Sands,Ground,special,70
Scratch,Normal,physical,40
Screech,Normal,status,0
Searing Shot,Fire,special,100
Searing Sunraze Smash,Steel,physical,200
Secret Power,Normal,physical,70
Secret Sword,Fighting,special,85
Seed Bomb,Grass,physical,80
Seed Flare,Grass,special,120
Seismic Toss,Fighting,physical,0
Self-Destruct,Normal,physical,200
Shadow Ball,Ghost,special,80
Shadow Bone,Ghost,physical,85
Shadow Claw,Ghost,physical,70
Shadow Force,Ghost,physical,120
Shadow Punch,Ghost,physical,60
Shadow Sneak,Ghost,physical,40
Sharpen,Normal,status,0
Shattered Psyche,Psychic,none,0
Sheer Cold,Ice,special,0
Shell Side Arm,Poison,special,90
Shell Smash,Normal,status,0
Shell Trap,Fire,special,150
Shift Gear,Steel,status,0
Shock Wave,Electric,special,60
Shore Up,Ground,status,0
Signal Beam,Bug,special,75
Silver Wind,Bug,special,60
Simple Beam,Normal,status,0
Sing,Normal,status,0
Sinister Arrow Raid,Ghost,physical,180
Sizzly Slide,Fire,physical,90
Sketch,Normal,status,0
Skill Swap,Psychic,status,0
Skitter Smack,Bug,physical,70
Skull Bash,Normal,physical,130
Sky Attack,Flying,physical,140
Sky Drop,Flying,physical,60
Sky Uppercut,Fighting,physical,85
Slack Off,Normal,status,0
Slam,Normal,physical,80
Slash,Normal,physical,70
Sleep Powder,Grass,status,0
Sleep Talk,Normal,status,0
Sludge,Poison,special,65
Sludge Bomb,Poison,special,90
Sludge Wave,Poison,special,95
Smack Down,Rock,physical,50
Smart Strike,Steel,physical,70
Smelling Salts,Normal,physical,70
Smog,Poison,special,30
Smokescreen,Normal,status,0
Snap Trap,Grass,physical,35
Snarl,Dark,special,55
Snatch,Dark,status,0
Snipe Shot,Water,special,80
Snore,Normal,special,50
Soak,Water,status,0
Soft-Boiled,Normal,status,0
Solar Beam,Grass,special,120
Solar Blade,Grass,physical,125
Sonic Boom,Normal,special,0
Soul-Stealing 7-Star Strike,Ghost,physical,195
Spacial Rend,Dragon,special,100
Spark,Electric,physical,65
Sparkling Aria,Water,special,90
Sparkly Swirl,Fairy,special,90
Spectral Thief,Ghost,physical,90
Speed Swap,Psychic,status,0
Spider Web,Bug,status,0
Spike Cannon,Normal,physical,20
Spikes,Ground,status,0
Spiky Shield,Grass,status,0
Spirit Break,Fairy,physical,75
Spirit Shackle,Ghost,physical,80
Spit Up,Normal,special,0
Spite,Ghost,status,0
Splash,Normal,status,0
Splintered Stormshards,Rock,physical,190
Splishy Splash,Water,special,90
Spore,Grass,status,0
Spotlight,Normal,status,0
Stealth Rock,Rock,status,0
Steam Eruption,Water,special,110
Steamroller,Bug,physical,65
Steel Beam,Steel,special,140
Steel Roller,Steel,physical,130
Steel Wing,Steel,physical,70
Sticky Web,Bug,status,0
Stockpile,Normal,status,0
Stoked Sparksurfer,Electric,special,175
Stomp,Normal,physical,65
Stomping Tantrum,Ground,physical,75
Stone Edge,Rock,physical,100
Stored Power,Psychic,special,20
Storm Throw,Fighting,physical,60
Strange Steam,Fairy,special,90
Strength,Normal,physical,80
Strength Sap,Grass,status,0
String Shot,Bug,status,0
Struggle,Normal,physical,50
Struggle Bug,Bug,special,50
Stuff Cheeks,Normal,status,0
Stun Spore,Grass,status,0
Submission,Fighting,physical,80
Substitute,Normal,status,0
Subzero Slammer,Ice,none,0
Sucker Punch,Dark,physical,70
Sunny Day,Fire,status,0
Sunsteel Strike,Steel,physical,100
Super Fang,Normal,physical,0
Superpower,Fighting,physical,120
Supersonic,Normal,status,0
Supersonic Skystrike,Flying,none,0
Surf,Water,special,90
Surging Strikes,Water,physical,25
Swagger,Normal,status,0
Swallow,Normal,status,0
Sweet Kiss,Fairy,status,0
Sweet Scent,Normal,status,0
Swift,Normal,special,60
Switcheroo,Dark,status,0
Swords Dance,Normal,status,0
Synchronoise,Psychic,special,120
Synthesis,Grass,status,0
Tackle,Normal,physical,40
Tail Glow,Bug,status,0
Tail Slap,Normal,physical,25
Tail Whip,Normal,status,0
Tailwind,Flying,status,0
Take Down,Normal,physical,90
Tar Shot,Rock,status,0
Taunt,Dark,status,0
Tearful Look,Normal,status,0
Teatime,Normal,status,0
Techno Blast,Normal,special,120
Tectonic Rage,Ground,none,0
Teeter Dance,Normal,status,0
Telekinesis,Psychic,status,0
Teleport,Psychic,status,0
Terrain Pulse,Normal,special,50
Thief,Dark,physical,60
Thousand Arrows,Ground,physical,90
Thousand Waves,Ground,physical,90
Thrash,Normal,physical,120
Throat Chop,Dark,physical,80
Thunder,Electric,special,110
Thunder Cage,Electric,special,80
Thunder Fang,Electric,physical,65
Thunder Punch,Electric,physical,75
Thunder Shock,Electric,special,40
Thunder Wave,Electric,status,0
Thunderbolt,Electric,special,90
Thunderous Kick,Fighting,physical,90
Tickle,Normal,status,0
Topsy-Turvy,Dark,status,0
Torment,Dark,status,0
Toxic,Poison,status,0
Toxic Spikes,Poison,status,0
Toxic Thread,Poison,status,0
Transform,Normal,status,0
Tri Attack,Normal,special,80
Trick,Psychic,status,0
Trick Room,Psychic,status,0
Trick-or-Treat,Ghost,status,0
Triple Axel,Ice,physical,20
Triple Kick,Fighting,physical,10
Trop Kick,Grass,physical,70
Trump Card,Normal,special,0
Twineedle,Bug,physical,25
Twinkle Tackle,Fairy,none,0
Twister,Dragon,special,40
U-turn,Bug,physical,70
Uproar,Normal,special,90
V-create,Fire,physical,180
Vacuum Wave,Fighting,special,40
Veevee Volley,Normal,physical,0
Venom Drench,Poison,status,0
Venoshock,Poison,special,65
Vine Whip,Grass,physical,45
Vise Grip,Normal,physical,55
Vital Throw,Fighting,physical,70
Volt Switch,Electric,special,70
Volt Tackle,Electric,physical,120
Wake-Up Slap,Fighting,physical,70
Water Gun,Water,special,40
Water Pledge,Water,special,80
Water Pulse,Water,special,60
Water Shuriken,Water,special,15
Water Sport,Water,status,0
Water Spout,Water,special,150
Waterfall,Water,physical,80
Weather Ball,Normal,special,50
Whirlpool,Water,special,35
Whirlwind,Normal,status,0
Wicked Blow,Dark,physical,80
Wide Guard,Rock,status,0
Wild Charge,Electric,physical,90
Will-O-Wisp,Fire,status,0
Wing Attack,Flying,physical,60
Wish,Normal,status,0
Withdraw,Water,status,0
Wonder Room,Psychic,status,0
Wood Hammer,Grass,physical,120
Work Up,Normal,status,0
Worry Seed,Grass,status,0
Wrap,Normal,physical,15
Wring Out,Normal,special,0
X-Scissor,Bug,physical,80
Yawn,Normal,status,0
Zap Cannon,Electric,special,120
Zen Headbutt,Psychic,physical,80
Zing Zap,Electric,physical,80
Zippy Zap,Electric,physical,50
