Name,Type,Category,Power,Acc,PP,Effect
Spite,Ghost,status,0,100,10,The opponent's last move loses 2-5 PP.
Splash,Normal,status,0,0,40,Doesn't do ANYTHING.
Spore,Grass,status,0,100,15,Puts opponent to sleep.
Steel Wing,Steel,physical,70,90,25,May raise user's Defense.
Stomp,Normal,physical,65,100,20,May cause flinching.
Strength,Normal,physical,80,100,15,
String Shot,Bug,status,0,95,40,Sharply lowers opponent's Speed.
Struggle,Normal,physical,50,0,0,Only usable when all PP are gone. Hurts the user.
Stun Spore,Grass,status,0,75,30,Paralyzes opponent.
Submission,Fighting,physical,80,80,20,User receives recoil damage.
Substitute,Normal,status,0,0,10,Uses HP to creates a decoy that takes hits.
Sunny Day,Fire,status,0,0,5,Makes it sunny for 5 turns.
Super Fang,Normal,physical,0,90,10,Always takes off half of the opponent's HP.
Supersonic,Normal,status,0,55,20,Confuses opponent.
Surf,Water,special,90,100,15,Hits all adjacent Pokémon.
Swagger,Normal,status,0,85,15,"Opponent becomes confused, but its Attack is sharply raised."
Sweet Kiss,Fairy,status,0,75,10,Confuses opponent.
Sweet Scent,Normal,status,0,100,20,Lowers opponent's Evasiveness.
Swift,Normal,special,60,0,20,Ignores Accuracy and Evasiveness.
Swords Dance,Normal,status,0,0,20,Sharply raises user's Attack.
Synthesis,Grass,status,0,0,5,User recovers HP. Amount varies with the weather.
Tackle,Normal,physical,40,100,35,
Tail Whip,Normal,status,0,100,30,Lowers opponent's Defense.
Take Down,Normal,physical,90,85,20,User receives recoil damage.
Teleport,Psychic,status,0,0,20,Allows user to flee wild battles; also warps player to last PokéCenter.
Thief,Dark,physical,60,100,25,Also steals opponent's held item.
Thrash,Normal,physical,120,100,10,User attacks for 2-3 turns but then becomes confused.
Thunder,Electric,special,110,70,10,May paralyze opponent.
Thunder Punch,Electric,physical,75,100,15,May paralyze opponent.
Thunder Shock,Electric,special,40,100,30,May paralyze opponent.
Thunder Wave,Electric,status,0,90,20,Paralyzes opponent.
Thunderbolt,Electric,special,90,100,15,May paralyze opponent.
Toxic,Poison,status,0,90,10,Badly poisons opponent.
Transform,Normal,status,0,0,10,User takes on the form and attacks of the opponent.
Tri Attack,Normal,special,80,100,10,"May paralyze, burn or freeze opponent."
Triple Kick,Fighting,physical,10,90,10,Hits thrice in one turn at increasing power.
Twineedle,Bug,physical,25,100,20,Hits twice in one turn. May poison opponent.
Twister,Dragon,special,40,100,20,May cause flinching. Hits Pokémon using Fly/Bounce with double power.
Vine Whip,Grass,physical,45,100,25,
Vise Grip,Normal,physical,55,100,30,
Vital Throw,Fighting,physical,70,0,10,"User attacks last, but ignores Accuracy and Evasiveness."
Water Gun,Water,special,40,100,25,
Waterfall,Water,physical,80,100,15,May cause flinching.
Whirlpool,Water,special,35,85,15,"Traps opponent, damaging them for 4-5 turns."
Whirlwind,Normal,status,0,0,20,"In battles, the opponent switches. In the wild, the Pokémon runs."
Wing Attack,Flying,physical,60,100,35,
Withdraw,Water,status,0,0,40,Raises user's Defense.
Wrap,Normal,physical,15,90,20,"Traps opponent, damaging them for 4-5 turns."
Zap Cannon,Electric,special,120,50,5,Paralyzes opponent.
